Sample	Unique Reads	Duplicate Reads
10AF_S5_R1_001	12559641.0	2225870.0
10AF_S5_R1_001_val_1	12489204.0	2201375.0
10AF_S5_R2_001	11654974.0	3130537.0
10AF_S5_R2_001_val_2	11834408.0	2856171.0
10P_ER_S13_R1_001	11722248.0	1685190.0
10P_ER_S13_R2_001	11026533.0	2380905.0
10R_SG_S19_R1_001	13280447.0	2145269.0
10R_SG_S19_R2_001	12476353.0	2949363.0
11P_DS_S14_R1_001	11698231.0	1627909.0
11P_DS_S14_R2_001	11023718.0	2302422.0
11R_GA_S20_R1_001	13146898.0	2160485.0
11R_GA_S20_R2_001	12409318.0	2898065.0
11a_S3_R1_001_val_1	5439249.0	8511137.0
11a_S3_R2_001_val_2	6247686.0	7702700.0
13a_S4_R1_001_val_1	6473464.0	10154907.0
13a_S4_R2_001_val_2	7438213.0	9190158.0
1AF_S1_R1_001	24567115.0	5599723.0
1AF_S1_R1_001_val_1	24082244.0	6001334.0
1AF_S1_R2_001	24461670.0	5705168.0
1AF_S1_R2_001_val_2	24719910.0	5363668.0
1HS_S6_R1_001	19441401.0	5344544.0
1HS_S6_R1_001_val_1	19086490.0	5637895.0
1HS_S6_R2_001	19431329.0	5354616.0
1HS_S6_R2_001_val_2	19637722.0	5086663.0
1MRLA_S9_R1_001	18044490.0	6838797.0
1MRLA_S9_R2_001	17467381.0	7415906.0
1PEM_S1_R1_001	14763328.0	5218130.0
1PEM_S1_R2_001	14297870.0	5683588.0
1RDAS_S11_R1_001	15620690.0	7116632.0
1RDAS_S11_R2_001	15311546.0	7425776.0
2AF_S2_R1_001	21955318.0	5698449.0
2AF_S2_R1_001_val_1	21487505.0	6089435.0
2AF_S2_R2_001	21900833.0	5752934.0
2AF_S2_R2_001_val_2	22128192.0	5448748.0
2HS_S7_R1_001	22475222.0	4761391.0
2HS_S7_R1_001_val_1	22074481.0	5088481.0
2HS_S7_R2_001	22354684.0	4881929.0
2HS_S7_R2_001_val_2	22546957.0	4616005.0
2MRPF_S10_R1_001	15622702.0	6425996.0
2MRPF_S10_R2_001	15129320.0	6919378.0
2PSL_S2_R1_001	14813558.0	6509327.0
2PSL_S2_R2_001	14455805.0	6867080.0
2RDAM_S12_R1_001	16487391.0	5803263.0
2RDAM_S12_R2_001	16006474.0	6284180.0
3AF_S3_R1_001	20993195.0	5592609.0
3AF_S3_R1_001_val_1	20548835.0	5968312.0
3AF_S3_R2_001	20935258.0	5650546.0
3AF_S3_R2_001_val_2	21187224.0	5329923.0
3HS_S8_R1_001	19016948.0	4233697.0
3HS_S8_R1_001_val_1	18628080.0	4562586.0
3HS_S8_R2_001	18919897.0	4330748.0
3HS_S8_R2_001_val_2	19084397.0	4106269.0
3PDR_S3_R1_001	17286763.0	6698796.0
3PDR_S3_R2_001	16658195.0	7327364.0
3RAM_S13_R1_001	16798493.0	6653536.0
3RAM_S13_R2_001	16404354.0	7047675.0
4AF_S4_R1_001	21575320.0	4620629.0
4AF_S4_R1_001_val_1	21197672.0	4934883.0
4AF_S4_R2_001	21473982.0	4721967.0
4AF_S4_R2_001_val_2	21687476.0	4445079.0
4HS_S9_R1_001	22950687.0	5387717.0
4HS_S9_R1_001_val_1	22471693.0	5792695.0
4HS_S9_R2_001	22949742.0	5388662.0
4HS_S9_R2_001_val_2	23179718.0	5084670.0
4PSR_S4_R1_001	16789668.0	6877791.0
4PSR_S4_R2_001	16269001.0	7398458.0
4RRS_S14_R1_001	15191181.0	5406438.0
4RRS_S14_R2_001	14685334.0	5912285.0
5AF_S5_R1_001	18216780.0	4269688.0
5AF_S5_R1_001_val_1	17941144.0	4491441.0
5AF_S5_R2_001	18146327.0	4340141.0
5AF_S5_R2_001_val_2	18335906.0	4096679.0
5HS_S10_R1_001	20473373.0	4942489.0
5HS_S10_R1_001_val_1	20128738.0	5224258.0
5HS_S10_R2_001	20440282.0	4975580.0
