Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
10AF_S5_R1_001_val_1	6521706.0	1333781.0	0.0	424255.0	745397.0	23498017.0	6835092.0	44.39379822946393	0.6	0.5	57.1	0.0	0.0	directional	3252195.0	3269511.0	269653936.0	14690579.0	69565557.0	157770218.0	17650492.0
11a_S3_R1_001_val_1	7918967.0	3489019.0	0.0	848765.0	660031.0	25905826.0	2542400.0	56.76521782264663	0.9	0.4	38.3	0.0	0.0	directional	3962766.0	3956201.0	312155801.0	13950386.0	89184563.0	153739681.0	41816935.0
13a_S4_R1_001_val_1	9701673.0	4090578.0	0.0	1112170.0	1064684.0	32512951.0	2836120.0	58.344097566743	1.0	0.5	42.0	0.0	0.0	directional	4849210.0	4852463.0	381635084.0	16628371.0	107630281.0	194351084.0	44963914.0
1AF_S1_R1_001_val_1	11727136.0	2530213.0	0.0	855223.0	1711194.0	47336619.0	15826229.0	38.98185249108334	0.7	0.6	60.3	0.0	0.0	directional	5846537.0	5880599.0	482026159.0	30083578.0	126052938.0	274861622.0	31208563.0
1HS_S6_R1_001_val_1	11135079.0	2471099.0	0.0	756076.0	1495489.0	44545818.0	11118207.0	45.03682902527201	0.6	0.6	60.6	0.0	0.0	directional	5549388.0	5585691.0	457021494.0	24724385.0	119723951.0	261506593.0	28993567.0
2AF_S2_R1_001_val_1	11525236.0	2504192.0	0.0	817384.0	1630909.0	47017078.0	13547512.0	41.7930198201831	0.7	0.6	61.0	0.0	0.0	directional	5741559.0	5783677.0	474280827.0	27576940.0	124082862.0	270721909.0	30010685.0
2HS_S7_R1_001_val_1	10532970.0	2329799.0	0.0	751603.0	1552617.0	41831850.0	14300193.0	38.776956651487424	0.7	0.6	59.5	0.0	0.0	directional	5251707.0	5281263.0	432074567.0	27162962.0	112720334.0	246782045.0	28436118.0
3AF_S3_R1_001_val_1	11384063.0	2620556.0	0.0	784814.0	1532942.0	45484941.0	12512528.0	42.93094954747583	0.6	0.6	59.8	0.0	0.0	directional	5675844.0	5708219.0	468708720.0	26517147.0	122943075.0	267374530.0	30588418.0
3HS_S8_R1_001_val_1	9571672.0	2103726.0	0.0	678274.0	1360306.0	38696890.0	11515268.0	41.273812489904344	0.7	0.6	60.2	0.0	0.0	directional	4771301.0	4800371.0	393792989.0	23190666.0	103087840.0	224414563.0	25555116.0
4AF_S4_R1_001_val_1	10529993.0	2278409.0	0.0	743936.0	1531082.0	41577480.0	13324153.0	40.29454066010767	0.7	0.6	60.7	0.0	0.0	directional	5248310.0	5281683.0	427970548.0	26132555.0	111359326.0	245845089.0	26913635.0
4HS_S9_R1_001_val_1	11129393.0	2512877.0	0.0	790295.0	1594448.0	44937758.0	14622118.0	39.37602682216222	0.7	0.6	60.1	0.0	0.0	directional	5548802.0	5580591.0	457889457.0	28264388.0	119697288.0	261000216.0	29869452.0
5AF_S5_R1_001_val_1	9889599.0	2079465.0	0.0	683404.0	1352901.0	38706920.0	10463521.0	44.08586437987419	0.6	0.6	59.8	0.0	0.0	directional	4930683.0	4958916.0	404075180.0	22432585.0	105605453.0	231706406.0	26020096.0
5HS_S10_R1_001_val_1	10445074.0	2306965.0	0.0	732797.0	1488054.0	42402102.0	12600957.0	41.19857866107816	0.6	0.6	61.0	0.0	0.0	directional	5204535.0	5240539.0	428915243.0	25352996.0	112244353.0	244910874.0	27137063.0
6AF_S1_R1_001_val_1	7409833.0	1503979.0	0.0	487342.0	846167.0	26202823.0	9406457.0	40.446092794816494	0.6	0.5	55.4	0.0	0.0	directional	3696601.0	3713232.0	307415990.0	18320269.0	79338869.0	179449961.0	21090828.0
9AF_S4_R1_001_val_1	7461373.0	1462550.0	0.0	480812.0	851116.0	26747964.0	8156157.0	43.68464901803738	0.6	0.5	57.2	0.0	0.0	directional	3719470.0	3741903.0	307807334.0	17080080.0	79251218.0	180473137.0	20003087.0
HS10_S10_R1_001_val_1	7617399.0	1564218.0	0.0	512652.0	880277.0	27462896.0	10121164.0	39.46270229144702	0.6	0.5	56.2	0.0	0.0	directional	3799957.0	3817442.0	316120789.0	19302781.0	81627821.0	184201472.0	21435671.0
HS11_S11_R1_001_val_1	5082530.0	1057548.0	0.0	316000.0	571999.0	17892343.0	6203933.0	41.17405598553015	0.6	0.5	55.3	0.0	0.0	directional	2534110.0	2548420.0	210334008.0	12344011.0	54206561.0	122884023.0	14463082.0
HS6_S6_R1_001_val_1	6090321.0	1169194.0	0.0	406229.0	710034.0	21463783.0	7317835.0	41.77934261028239	0.6	0.5	56.4	0.0	0.0	directional	3038215.0	3052106.0	251320919.0	14577350.0	64698849.0	147435935.0	16606089.0
HS7_S7_R1_001_val_1	12149812.0	2646086.0	0.0	768222.0	1334753.0	43563963.0	15321030.0	40.34213582474281	0.6	0.5	56.1	0.0	0.0	directional	6063492.0	6086320.0	505477980.0	30116928.0	130531799.0	295160009.0	34119234.0
HS8_S8_R1_001_val_1	6091052.0	1178985.0	0.0	404069.0	714504.0	21932504.0	6988893.0	42.717454956297566	0.6	0.5	56.7	0.0	0.0	directional	3041331.0	3049721.0	252016294.0	14258930.0	65026025.0	147216379.0	16722813.0
HS9_S9_R1_001_val_1	8031626.0	1599010.0	0.0	527341.0	914954.0	28436799.0	9515992.0	41.94799209552721	0.6	0.5	55.9	0.0	0.0	directional	4004585.0	4027041.0	332387951.0	19146628.0	85809945.0	194279906.0	22419006.0
