Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
10AF_S5_R1_001_val_1	380840.0	666426.0	20728557.0	0.6	0.5	59.9	227308447.0	58543725.0	133103975.0	13884924.0
11a_S3_R1_001_val_1	608305.0	525434.0	18186381.0	1.0	0.5	40.7	207337925.0	59335600.0	102165845.0	26516360.0
13a_S4_R1_001_val_1	844709.0	882227.0	23786851.0	1.1	0.6	44.5	265922099.0	75174987.0	135615313.0	29618012.0
1AF_S1_R1_001_val_1	762950.0	1549881.0	41463810.0	0.7	0.7	62.8	405563238.0	105887847.0	231336118.0	24562632.0
1HS_S6_R1_001_val_1	671163.0	1345036.0	39069728.0	0.7	0.6	63.0	385244765.0	100789206.0	220470729.0	22898903.0
2AF_S2_R1_001_val_1	725908.0	1470192.0	41145027.0	0.7	0.6	63.6	398366671.0	104088253.0	227375278.0	23562013.0
2HS_S7_R1_001_val_1	672286.0	1407818.0	36729596.0	0.7	0.7	62.0	364594717.0	94940724.0	208314167.0	22530126.0
3AF_S3_R1_001_val_1	693680.0	1374832.0	39636191.0	0.7	0.6	62.3	391973146.0	102695661.0	223579675.0	23993107.0
3HS_S8_R1_001_val_1	600111.0	1220749.0	33713937.0	0.7	0.6	62.8	329165153.0	86033055.0	187611838.0	19985463.0
4AF_S4_R1_001_val_1	664718.0	1391131.0	36465309.0	0.7	0.7	63.2	361470830.0	93840306.0	207868722.0	21240644.0
4HS_S9_R1_001_val_1	702566.0	1437899.0	39291393.0	0.7	0.7	62.6	384015732.0	100220841.0	218931937.0	23431096.0
5AF_S5_R1_001_val_1	609394.0	1223710.0	34062624.0	0.7	0.6	62.3	342050557.0	89235837.0	196292114.0	20626878.0
5HS_S10_R1_001_val_1	653619.0	1345289.0	37296396.0	0.7	0.6	63.5	362438702.0	94715551.0	207009915.0	21417932.0
6AF_S1_R1_001_val_1	435922.0	754920.0	22889408.0	0.7	0.5	58.2	256381965.0	66032855.0	149839567.0	16429293.0
9AF_S4_R1_001_val_1	432552.0	763802.0	23612350.0	0.6	0.5	60.0	259935855.0	66800142.0	152577639.0	15749370.0
HS10_S10_R1_001_val_1	454215.0	779003.0	23799743.0	0.7	0.5	59.1	261245952.0	67297836.0	152446156.0	16468999.0
HS11_S11_R1_001_val_1	282884.0	509458.0	15584492.0	0.6	0.5	58.1	174783381.0	44945297.0	102238551.0	11222699.0
HS6_S6_R1_001_val_1	366432.0	639466.0	18960317.0	0.7	0.5	59.1	212676633.0	54639077.0	124928709.0	13142632.0
HS7_S7_R1_001_val_1	683871.0	1187091.0	38137393.0	0.6	0.5	58.9	422582987.0	108951285.0	246980944.0	26642403.0
HS8_S8_R1_001_val_1	362648.0	639389.0	19285808.0	0.7	0.5	59.6	211802630.0	54537654.0	123887535.0	13089596.0
HS9_S9_R1_001_val_1	469416.0	812716.0	24842341.0	0.7	0.5	58.7	277495471.0	71483347.0	162427205.0	17460446.0
