Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	bp_written	percent_trimmed
10AF_S5_R1_001	4.1	14785511	6748665	14785511	1103711974	1048708977	4.983455674641435
10AF_S5_R2_001	4.1	14785511	6998599	14785511	1093759244	1086534569	0.660536131660799
11a_S3_R1_001	4.1	14077064	8222132	14077064	1046123230	938673262	10.271253416292076
11a_S3_R2_001	4.1	14077064	8886557	14077064	1035923962	934273781	9.81251372965152
13a_S4_R1_001	4.1	16818587	9287916	16818587	1254838945	1149602949	8.386414560953876
13a_S4_R2_001	4.1	16818587	10061022	16818587	1236194035	1136909708	8.031451712999084
1AF_S1_R1_001	4.1	30166838	14864347	30166838	2224586161	2066017406	7.128011392856992
1AF_S1_R2_001	4.1	30166838	14442862	30166838	2211896542	2196788799	0.6830221356709367
1HS_S6_R1_001	4.1	24785945	12068441	24785945	1828151709	1707471626	6.601207241493764
1HS_S6_R2_001	4.1	24785945	11980272	24785945	1817766691	1805291123	0.6863129389359023
2AF_S2_R1_001	4.1	27653767	13676062	27653767	2039691611	1894598478	7.113483833414658
2AF_S2_R2_001	4.1	27653767	13231840	27653767	2027874003	2014038808	0.6822512138097566
2HS_S7_R1_001	4.1	27236613	13147249	27236613	2008650394	1876206312	6.593685112930609
2HS_S7_R2_001	4.1	27236613	13026652	27236613	1997108818	1983582201	0.6773099631869934
3AF_S3_R1_001	4.1	26585804	13226827	26585804	1960789471	1822288518	7.063530024432694
3AF_S3_R2_001	4.1	26585804	12800620	26585804	1949671495	1936308088	0.6854183914711232
3HS_S8_R1_001	4.1	23250645	11551314	23250645	1714859955	1592943848	7.109391448819505
3HS_S8_R2_001	4.1	23250645	11220491	23250645	1705142329	1693432146	0.6867569235037153
4AF_S4_R1_001	4.1	26195949	12793149	26195949	1931884897	1798988664	6.879096845074615
4AF_S4_R2_001	4.1	26195949	12552881	26195949	1921486679	1908389405	0.6816218994979564
4HS_S9_R1_001	4.1	28338404	14024286	28338404	2089952405	1940118383	7.169255225216481
4HS_S9_R2_001	4.1	28338404	13580813	28338404	2078396817	2064216322	0.6822804425031989
5AF_S5_R1_001	4.1	22486468	10761152	22486468	1658528958	1555878895	6.189223438328413
5AF_S5_R2_001	4.1	22486468	10787687	22486468	1649318581	1638135086	0.6780676049389636
5HS_S10_R1_001	4.1	25415862	12359951	25415862	1874457039	1746094320	6.847994716831704
5HS_S10_R2_001	4.1	25415862	12154706	25415862	1864153904	1851459532	0.6809723152557902
6AF_S1_R1_001	4.1	18435744	8901324	18435744	1376165962	1291016143	6.18746730781298
6AF_S1_R2_001	4.1	18435744	8791201	18435744	1364107100	1354932461	0.6725746827356884
9AF_S4_R1_001	4.1	17191805	7875377	17191805	1283458821	1218656490	5.0490385776077815
9AF_S4_R2_001	4.1	17191805	8137121	17191805	1271537082	1263120607	0.6619134525563133
HS10_S10_R1_001	4.1	19449998	9855746	19449998	1451553116	1345831872	7.283319007390701
HS10_S10_R2_001	4.1	19449998	9232037	19449998	1439120437	1429385801	0.676429557229615
HS11_S11_R1_001	4.1	12419612	5930927	12419612	927043088	873599971	5.764901080843829
HS11_S11_R2_001	4.1	12419612	5933117	12419612	918933793	912781323	0.669522662771419
HS6_S6_R1_001	4.1	14675638	6811970	14675638	1095462418	1036681329	5.365869977293918
HS6_S6_R2_001	4.1	14675638	6983744	14675638	1085584949	1078344812	0.6669341728318307
HS7_S7_R1_001	4.1	30332664	15085994	30332664	2263458903	2100567402	7.196574268881259
HS7_S7_R2_001	4.1	30332664	14337954	30332664	2242177201	2226981002	0.6777429987791586
HS8_S8_R1_001	4.1	14350632	6695552	14350632	1071212490	1013181196	5.417346655470755
HS8_S8_R2_001	4.1	14350632	6839157	14350632	1061686153	1054599196	0.6675190196250022
HS9_S9_R1_001	4.1	19285408	9345597	19285408	1439625520	1350621351	6.182452850655218
HS9_S9_R2_001	4.1	19285408	9128054	19285408	1427124811	1417600049	0.6674091800930788
