Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
10AF_S5_R1_001	10AF_S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14785511.0	0.0	75.0	33.0	84.94559397716243	75.0	pass	fail	fail	pass	fail	pass	fail	pass	pass	pass	fail
10AF_S5_R1_001_val_1	10AF_S5_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14690579.0	0.0	20-75	32.0	85.01505253135585	69.428533620084	pass	fail	fail	pass	fail	warn	fail	warn	pass	pass	pass
10AF_S5_R2_001	10AF_S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14785511.0	0.0	75.0	31.0	78.82698857245198	75.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
10AF_S5_R2_001_val_2	10AF_S5_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14690579.0	0.0	20-75	31.0	80.55780078796943	71.90775326146097	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
10P_ER_S13_R1_001	10P_ER_S13_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13407438.0	0.0	75.0	33.0	87.43093176726585	75.0	pass	fail	fail	pass	fail	pass	fail	pass	pass	pass	fail
10P_ER_S13_R2_001	10P_ER_S13_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13407438.0	0.0	75.0	31.0	82.2419058125835	75.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
10R_SG_S19_R1_001	10R_SG_S19_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15425716.0	0.0	75.0	33.0	86.09290016623879	75.0	pass	fail	fail	pass	fail	warn	fail	pass	pass	pass	fail
10R_SG_S19_R2_001	10R_SG_S19_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15425716.0	0.0	75.0	31.0	80.88021725988531	75.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
11P_DS_S14_R1_001	11P_DS_S14_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13326140.0	0.0	75.0	34.0	87.78409097604617	75.0	pass	fail	fail	pass	fail	pass	fail	pass	pass	pass	fail
11P_DS_S14_R2_001	11P_DS_S14_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13326140.0	0.0	75.0	32.0	82.72250665382902	75.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
11R_GA_S20_R1_001	11R_GA_S20_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15307383.0	0.0	75.0	34.0	85.8859934792884	75.0	pass	fail	fail	pass	fail	pass	fail	pass	pass	pass	fail
11R_GA_S20_R2_001	11R_GA_S20_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15307383.0	0.0	75.0	32.0	81.06753286089624	75.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
11a_S3_R1_001_val_1	11a_S3_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13950386.0	0.0	20-75	38.0	38.98995014963716	64.96561930257701	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
11a_S3_R2_001_val_2	11a_S3_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13950386.0	0.0	20-75	37.0	44.78503382009233	64.44550881961258	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
13a_S4_R1_001_val_1	13a_S4_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16628371.0	0.0	20-75	38.0	38.930232592192596	66.64275989512142	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
13a_S4_R2_001_val_2	13a_S4_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16628371.0	0.0	20-75	36.0	44.732055990502054	65.85071514221086	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
1AF_S1_R1_001	1AF_S1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30166838.0	0.0	74.0	35.0	81.43748450847208	74.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
1AF_S1_R1_001_val_1	1AF_S1_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30083578.0	0.0	20-74	34.0	80.05112753226145	67.20082983480224	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
1AF_S1_R2_001	1AF_S1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30166838.0	0.0	74.0	33.0	81.08794801713398	74.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
1AF_S1_R2_001_val_2	1AF_S1_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30083578.0	0.0	20-74	32.0	82.17077443326306	71.29557853789865	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
1HS_S6_R1_001	1HS_S6_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24785945.0	0.0	74.0	35.0	78.43719679871553	74.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
1HS_S6_R1_001_val_1	1HS_S6_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24724385.0	0.0	20-74	34.0	77.19702410486421	67.6136002573977	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
1HS_S6_R2_001	1HS_S6_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24785945.0	0.0	74.0	32.0	78.39655923544416	74.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
1HS_S6_R2_001_val_2	1HS_S6_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24724385.0	0.0	20-74	32.0	79.42653061668126	71.2387270300151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
1MRLA_S9_R1_001	1MRLA_S9_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24883287.0	0.0	76.0	34.0	72.5165020440118	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
1MRLA_S9_R2_001	1MRLA_S9_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24883287.0	0.0	76.0	32.0	70.19723883325929	76.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
1PEM_S1_R1_001	1PEM_S1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19981458.0	0.0	76.0	34.0	73.88513493180167	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
1PEM_S1_R2_001	1PEM_S1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19981458.0	0.0	76.0	32.0	71.55568860264404	76.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
1RDAS_S11_R1_001	1RDAS_S11_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22737322.0	0.0	76.0	34.0	68.70065816811076	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail
1RDAS_S11_R2_001	1RDAS_S11_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22737322.0	0.0	76.0	32.0	67.34102269794889	76.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
2AF_S2_R1_001	2AF_S2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27653767.0	0.0	74.0	35.0	79.3935857609006	74.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
2AF_S2_R1_001_val_1	2AF_S2_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27576940.0	0.0	20-74	34.0	77.91838011184417	67.22648219853254	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
2AF_S2_R2_001	2AF_S2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27653767.0	0.0	74.0	33.0	79.19656066975296	74.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
2AF_S2_R2_001_val_2	2AF_S2_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27576940.0	0.0	20-74	33.0	80.24165039490812	71.2791104451763	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
2HS_S7_R1_001	2HS_S7_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27236613.0	0.0	74.0	35.0	82.5184144691648	74.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
2HS_S7_R1_001_val_1	2HS_S7_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27162962.0	0.0	20-74	34.0	81.2668369270725	67.62348355087343	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
2HS_S7_R2_001	2HS_S7_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27236613.0	0.0	74.0	33.0	82.07585609955144	74.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
2HS_S7_R2_001_val_2	2HS_S7_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27162962.0	0.0	20-74	32.0	83.00624988951716	71.30144665371914	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
2MRPF_S10_R1_001	2MRPF_S10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22048698.0	0.0	76.0	34.0	70.85543757301826	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
2MRPF_S10_R2_001	2MRPF_S10_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22048698.0	0.0	76.0	32.0	68.61774415065042	76.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
2PSL_S2_R1_001	2PSL_S2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21322885.0	0.0	76.0	34.0	69.47257569492345	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail
2PSL_S2_R2_001	2PSL_S2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21322885.0	0.0	76.0	32.0	67.79478583578596	76.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
2RDAM_S12_R1_001	2RDAM_S12_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22290654.0	0.0	76.0	34.0	73.96548438422515	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
2RDAM_S12_R2_001	2RDAM_S12_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22290654.0	0.0	76.0	32.0	71.80800337452446	76.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
3AF_S3_R1_001	3AF_S3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26585804.0	0.0	74.0	35.0	78.96392730707336	74.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
3AF_S3_R1_001_val_1	3AF_S3_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26517147.0	0.0	20-74	34.0	77.49263056809602	67.24633619144623	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
3AF_S3_R2_001	3AF_S3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26585804.0	0.0	74.0	33.0	78.74599992484576	74.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
3AF_S3_R2_001_val_2	3AF_S3_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26517147.0	0.0	20-74	32.0	79.90008677359737	71.2502446058771	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
3HS_S8_R1_001	3HS_S8_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23250645.0	0.0	74.0	35.0	81.79105530071722	74.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
3HS_S8_R1_001_val_1	3HS_S8_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23190666.0	0.0	20-74	34.0	80.32576152409318	67.21746438847423	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
3HS_S8_R2_001	3HS_S8_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23250645.0	0.0	74.0	33.0	81.3736427213227	74.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
3HS_S8_R2_001_val_2	3HS_S8_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23190666.0	0.0	20-74	32.0	82.293438787655	71.26460438867947	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
3PDR_S3_R1_001	3PDR_S3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23985559.0	0.0	76.0	34.0	72.07154226406811	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
3PDR_S3_R2_001	3PDR_S3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23985559.0	0.0	76.0	32.0	69.45093340995984	76.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
3RAM_S13_R1_001	3RAM_S13_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23452029.0	0.0	76.0	34.0	71.62916522202921	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
3RAM_S13_R2_001	3RAM_S13_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23452029.0	0.0	76.0	32.0	69.94854743107817	76.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
4AF_S4_R1_001	4AF_S4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26195949.0	0.0	74.0	35.0	82.36128234388022	74.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
4AF_S4_R1_001_val_1	4AF_S4_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26132555.0	0.0	20-74	34.0	81.11595358686384	67.39762254398775	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
4AF_S4_R2_001	4AF_S4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26195949.0	0.0	74.0	32.0	81.97443788661015	74.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
4AF_S4_R2_001_val_2	4AF_S4_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26132555.0	0.0	20-74	32.0	82.99026242267738	71.29754989514038	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
4HS_S9_R1_001	4HS_S9_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28338404.0	0.0	74.0	35.0	80.98792973032425	74.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
4HS_S9_R1_001_val_1	4HS_S9_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28264388.0	0.0	20-74	34.0	79.50532078003405	67.18041317576025	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
4HS_S9_R2_001	4HS_S9_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28338404.0	0.0	74.0	33.0	80.98459285343542	74.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
4HS_S9_R2_001_val_2	4HS_S9_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28264388.0	0.0	20-74	32.0	82.01033004738701	71.28793122992792	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
4PSR_S4_R1_001	4PSR_S4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23667459.0	0.0	76.0	34.0	70.93988240873435	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
