Module	Section	Sample Name	Source
Bismark	alignment	10AF_S5_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/10AF_S5_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	11a_S3_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/11a_S3_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	13a_S4_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/13a_S4_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	1AF_S1_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/1AF_S1_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	1HS_S6_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/1HS_S6_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	2AF_S2_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/2AF_S2_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	2HS_S7_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/2HS_S7_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	3AF_S3_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/3AF_S3_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	3HS_S8_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/3HS_S8_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	4AF_S4_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/4AF_S4_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	4HS_S9_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/4HS_S9_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	5AF_S5_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/5AF_S5_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	5HS_S10_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/5HS_S10_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	6AF_S1_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/6AF_S1_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	9AF_S4_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/9AF_S4_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	HS10_S10_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/HS10_S10_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	HS11_S11_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/HS11_S11_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	HS6_S6_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/HS6_S6_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	HS7_S7_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/HS7_S7_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	HS8_S8_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/HS8_S8_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	HS9_S9_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/HS9_S9_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	methylation_extraction	10AF_S5_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/10AF_S5_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	11a_S3_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/11a_S3_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	13a_S4_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/13a_S4_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	1AF_S1_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/1AF_S1_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	1HS_S6_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/1HS_S6_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	2AF_S2_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/2AF_S2_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	2HS_S7_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/2HS_S7_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	3AF_S3_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/3AF_S3_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	3HS_S8_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/3HS_S8_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	4AF_S4_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/4AF_S4_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	4HS_S9_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/4HS_S9_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	5AF_S5_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/5AF_S5_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	5HS_S10_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/5HS_S10_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	6AF_S1_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/6AF_S1_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	9AF_S4_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/9AF_S4_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	HS10_S10_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/HS10_S10_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	HS11_S11_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/HS11_S11_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	HS6_S6_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/HS6_S6_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	HS7_S7_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/HS7_S7_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	HS8_S8_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/HS8_S8_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	HS9_S9_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/HS9_S9_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	m_bias	10AF_S5_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/10AF_S5_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	11a_S3_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/11a_S3_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	13a_S4_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/13a_S4_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	1AF_S1_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/1AF_S1_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	1HS_S6_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/1HS_S6_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	2AF_S2_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/2AF_S2_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	2HS_S7_R1_001_val_1	/Volumes/Sequencing_Backup/Cheaha_Backup/Napoli/Results/RRBS_BISMARK/methylation_extractor/2HS_S7_R1_001_val_1_bismark_bt2_pe.M-bias.txt
